topology,side,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us
1n1g,256,21.482666666666667,20.9167,22.214966666666665,3,9,21.53811111111111
1n2g,256,39.1747,38.88303333333334,39.52256666666667,3,9,39.19343333333333
1n4g,256,52.40996666666667,50.79626666666667,52.53006666666667,3,9,51.912099999999995
2n1g,256,56.0579,55.6954,56.8315,3,9,56.19493333333333
2n4g,256,93.39943333333333,93.32896666666667,93.40716666666667,3,9,93.37852222222222
4n4g,256,114.18333333333334,114.11033333333333,114.25633333333333,2,6,114.18333333333334
1n1g,512,26.458133333333333,25.905,27.071466666666666,3,9,26.4782
1n2g,512,38.803333333333335,38.458,40.064099999999996,3,9,39.10847777777778
1n4g,512,52.7177,51.847033333333336,52.75906666666667,3,9,52.44126666666667
2n1g,512,57.62923333333333,57.03223333333333,57.797599999999996,3,9,57.486355555555555
2n4g,512,95.34400000000001,95.2141,96.49733333333333,3,9,95.68514444444445
4n4g,512,116.85833333333333,116.06833333333333,117.91233333333334,3,9,116.94633333333334
8n4g,512,137.70533333333333,136.768,137.81466666666665,3,9,137.42933333333335
1n1g,1024,36.7376,36.702333333333335,36.958933333333334,3,9,36.79962222222222
1n2g,1024,46.309,46.067933333333336,46.541333333333334,3,9,46.30608888888889
1n4g,1024,56.272666666666666,55.89353333333333,56.48806666666667,3,9,56.21808888888889
2n1g,1024,66.8288,65.91776666666667,68.10263333333333,3,9,66.94973333333333
2n4g,1024,97.63296666666666,97.32543333333334,97.80333333333333,3,9,97.58724444444445
4n4g,1024,117.87,117.24833333333333,118.52766666666666,3,9,117.882
8n4g,1024,142.81066666666666,141.67066666666668,143.15800000000002,3,9,142.54644444444446
1n1g,2048,133.07466666666667,132.908,133.134,3,9,133.0388888888889
1n2g,2048,69.25723333333333,69.22636666666666,69.6456,3,9,69.3764
1n4g,2048,72.50696666666666,71.56793333333333,72.67766666666667,3,9,72.25085555555556
2n1g,2048,87.73283333333333,87.71733333333333,87.781,3,9,87.74372222222222
2n4g,2048,106.506,106.37033333333333,107.58833333333334,3,9,106.82155555555556
4n4g,2048,125.721,125.07333333333334,126.33366666666667,3,9,125.70933333333333
8n4g,2048,146.16233333333335,145.903,146.20133333333334,3,9,146.08888888888887
1n1g,4096,456.133,455.71433333333334,456.1333333333333,3,9,455.99355555555553
1n2g,4096,256.822,256.743,257.308,3,9,256.9576666666667
1n4g,4096,169.13333333333333,169.124,169.25,3,9,169.1691111111111
2n1g,4096,278.883,278.8333333333333,279.02366666666666,3,9,278.9133333333333
2n4g,4096,130.827,130.355,131.494,3,9,130.892
4n4g,4096,142.10333333333332,139.57966666666667,142.64133333333334,3,9,141.44144444444444
8n4g,4096,155.954,153.87566666666666,156.17600000000002,3,9,155.33522222222223
1n1g,8192,1778.7033333333334,1778.07,1779.6233333333334,3,9,1778.798888888889
1n2g,8192,909.4376666666666,909.1663333333333,910.049,3,9,909.5509999999999
1n4g,8192,493.6603333333333,493.65366666666665,494.3183333333333,3,9,493.87744444444445
2n1g,8192,931.222,930.97,931.2516666666667,3,9,931.1478888888889
2n4g,8192,324.377,322.95466666666664,325.2296666666667,3,9,324.1871111111111
4n4g,8192,239.78933333333333,238.41233333333332,240.41433333333333,3,9,239.53866666666667
8n4g,8192,178.875,178.054,179.92633333333333,3,9,178.95177777777778
1n1g,16384,7555.6033333333335,7549.01,7557.763333333333,3,9,7554.125555555556
1n2g,16384,3629.943333333333,3629.8633333333332,3629.9566666666665,3,9,3629.9211111111113
1n4g,16384,1810.18,1810.1266666666668,1810.68,3,9,1810.328888888889
2n1g,16384,3654.5366666666664,3652.7400000000002,3656.5266666666666,3,9,3654.6011111111115
2n4g,16384,978.6313333333334,977.8553333333333,979.4936666666666,3,9,978.6601111111112
4n4g,16384,572.7405,572.2913333333333,573.1896666666667,2,6,572.7405
